publisher,Count
Thünen Institute of Rural Studies,2
Deutsche Veterinärmedizinische Gesellschaft,2
BfR,2
ATB,2
Oxford University Press (OUP),2
Julius Kühn Institute - Federal Research Centre for Cultivated Plants,2
Thünen-Institut für ökologischen Landbau,2
Thünen-Institut für Waldwirtschaft,2
Bundesministerium für Bildung und Forschung,2
International Organization for Biological control  of noxious animals and plants ; West Palearctic Regional Section ; Working group use of pheromones and other semiochemicals in integrated control,2
International organization for biological control  of noxious animals and plants ; west palearctic regional section ; working group integrated plant protection in fruit crops ; subgroup soft fruits,2
Biologischen Bundesanstalt für Land- und Forstwirtschaft,2
"Rahmann, Gerold",2
Biologische Reichsanstalt für Land- und Forstwirtschaft (Berlin),2
Thünen Institute of Forestry,2
"Federal Research Centre for Forestry and Forest Products and the Chairs of World Forestry, Wood Biology and Wood Technology of the University",2
Biologische Bundesanstalt für Land- und Forstwirtschaft Parey [in Komm.],2
Biolog. Bundesanst. f. Land- u. Forstwirtschaft Parey [in Komm.],2
Biologische Bundesanstalt für Land- und Forstwirtschaft Berlin-Dahlem,2
Institut für Seefischerei,2
Parey in Kommission,2
Blackwell Wiss.-Verl.,2
"Eugen Ulmer KG, Stuttgart",2
"Bundesforschungsanstalt für Rebenzüchtung Geilweilerhof, Siebeldingen, Deutschland",2
Deutsche Gesellschaft für Qualitätsforschung (Pflanzliche Nahrungsmittel) e. V.,2
IFA,2
Bundesforschungsanstalt für Ernährung und Lebensmittel,2
"Land- und Hauswirtschaftlicher Auswertungs- und Informationsdienst, Bonn",2
GDfZ,1
ILSI Europe,1
BfR-Hausdruckerei,1
Landwirtschaftsverl.,1
Weinmann,1
Universitat Politecnica de Valencia,1
Centre for Energy Technology Brandenburg,1
Univ. Köln,1
Corvinus University of Budapest,1
Hirzel,1
Moritz,1
Deutsches Patentamt,1
OPA (Overseas Publishers Association) Amsterdam B. V.,1
entera Umweltplanung & IT ; Thünen-Institut für Betriebswirtschaft ; Thünen-Institut für Lebensverhältnisse in ländlichen Räumen,1
Brill,1
Förderverein des FLI,1
WHO Press,1
Beltz Juventa,1
Köllen,1
AID,1
Staatliche Akademie für Lehrerfortbildung,1
Office for Official Publications of the European Communities,1
Institut für Ostseefischerei,1
"Schodde, Richard",1
Association VERSeau Developpement,1
ZADI,1
Köster,1
Debreceni Egyetem Agrártudományi Centrum,1
Thünen Institute of Fisheries Ecology,1
Thünen-Institut für Fischereiökologie,1
Thünen Institute of Biodiversity,1
Thünen-Institut für Biodiversität,1
Thünen-Institut für Waldökosysteme,1
Parey [Komm.],1
Biol. Bundesanst. für Land- und Forstwirtschaft,1
Kommissionsverl. Blackwell-Wiss.-Verl.,1
"Balder, Hartmut",1
"Ordon, Frank",1
Verlag der DVG Service,1
Gesellschaft Deutscher Chemiker e.V. (GDCh),1
"DLG, Fachzentrum Ernährungswirtschaft",1
Funpec Editora,1
Greifswald Moor Centrum,1
Leibniz-Institut für Agrartechnik,1
Parey (i. Komm.),1
Parey [in. Komm.],1
Parey [in Komm.] Biolog. Bundesanst. für Land- u. Forstwirtschaft,1
Paul Parey Kommissionsverlag,1
Kommissionsverl. Parey,1
GfÖ,1
"Kartamihardja, E. S.",1
Deutsche Akademie der Naturforscher Leopoldina,1
Büro für Technikfolgen-Abschätzung beim Deutschen Bundestag,1
Carbon brief,1
E. Schweizerbart’sche Verlagsbuchhandlung,1
"Gross, Jürgen",1
Burleigh Dodds Science Publishing,1
Thünen Institute of Market Analysis,1
"Meiners, Torsten",1
"Berlin. Senatsverwaltung für Wissenschaft, Gesundheit, Pflege und Gleichstellung",1
"Marthe, Frank",1
"Wegener, Jens Karl",1
Biologische Zentralanst. Biologische Bundesanst.,1
[u.a.],1
"Ministerium für Ländliche Entwicklung, Umwelt und Verbraucherschutz",1
Institut für Forstgenetik und Forstpflanzenzüchtung,1
American Society of Agricultural Engineers,1
"Forest Research Centre for Forestry and Forest Products and the Chairs of World Forestry, Wood Biology and Wood Technology of the University of Hamburg",1
Forest Research Centre for Forestry and Forest Products,1
Federal Research Centre for Forestry and Forest Products and Department of Wood Science University of Hamburg,1
vTI Institut für Agrarrelevante Klimaforschung,1
Verlag Paul Parey,1
Biolog. Bundesanst. f. Land- u. Forstwirtschaft,1
Biologische Bundesanstalt für Land- u. Forstwirtschaft Parey in Komm.,1
Parey i. Komm.,1
Parey in Komm,1
Stadt Quedlinburg,1
Poultry Science Association,1
Deutsches Zentrum für Luft- und Raumfahrt,1
"Confoederatio Internationalis ad Qualitates Plantarum Edulium Perquirendas (CIQ) (International Association for Quality Research on Food Plants), Deutschland",1
Julius Kühn - Institut,1
Thünen Institute of Organic Farming,1
DGfZ,1
ICoMST Scientific and the Organizing Committee,1
"Zerr, Inga",1
Edizioni IZSTe-press,1
EDP Sciences,1
Journal of Applied Botany and Food Quality,1
Codon Publications,1
BMUV,1
International Organization for Biological and integrated Control  of Noxious Animals and Plants ; Working Group Breeding for Plant Resistance to Pests and Diseases,1
FAO,1
Union Internationale des Sciences Biologiques Organisation Internationale de Lutte Biologique contre les animaux et les plantes nuisibles ;  Section Regionale Ouest Palearctique ; Organisation internationale de lutte Biologique contre les animals et les plantes nuisibles,1
Union internationale des Sciences Biologiques Organisation internationale de lutte Biologique contre les animaux et les plantes nuisibles ;  Section regionale Ouest Palearctique ; Working group integrated plant protection in orchards ; Subgroup integrated control of pome fruit diseases vol. II,1
Bundesministerium für Ernährung und Landwirtschaft,1
Organisation internationale de lutte Biologique contre les animaux et les plantes nuisibles ;  Section regionale Ouest Palearctique ; Working group integrated plant protection in orchards ; ISHS working group  integrated fruit production,1
International Organization for Biological control  of noxious animals and plants ; West Palearctic Regional Section ; ISHS International Society for Horticultural Science ; Working Group on Computer Modelling in Fruit Research and Orchard Management ; Study Group on Critical Assessment of Quantitive Approaches in Crop Management,1
International Organization for Biological control  of noxious animals and plants ; West Palearctic Regional Section ; Working group insect pathogens and insect parasitic nematodes,1
Schlütersche Verlagsgesellschaft,1
"Leitstelle für Lebensmittel (Boden, Bewuchs, Futtermittel und Nahrungsmittel pflanzlicher und tierischer Herkunft)",1
International Organization for Biological control  of noxious animals and plants ; West Palearctic Regional Section ; Working group integrated plant protection in orchards ; Subgroup integrated control of pome fruit diseases,1
International Organization for Biological control  of noxious animals and plants ; West Palearctic Regional Section ; Working group biological control of fungal and bacterial plant pathogens,1
International organization for biological control  of noxious animals and plants ; west palearctic regional section ; Working group use of pheromones and other semiochemicals in integrated control,1
International organization for biological control  of noxious animals and plants ; west palearctic regional section ; working group integrated control in citrus fruit crops,1
International organization for biological control  of noxious animals and plants ; west palearctic regional section ; working group multitrophic interactions in soil and integrated control,1
International organization for biological control  of noxious animals and plants ; west palearctic regional section ; working group insect pathogens and insect parasitic nematodes ; subgroup slugs and snails,1
International organization for biological control  of noxious animals and plants ; west palearctic regional section ; working groups integrated fruit protection in fruit crops and use integrated fruit protection in fruit crops,1
International organization for biological control  of noxious animals and plants ; west palearctic regional section ; working group breeding for plant resistance to pests and diseases,1
Dienststelle des Generalsachbearbeiters für die Bekämpfung des Kartoffelkäfers,1
Istituto zooprofilattico sperimentale delle Venezie,1
"Kamphues, Josef",1
"Båge, Renée",1
International Symposium on Biological Control of Bacterial Plant Diseases 1 2005 Seeheim,1
Universität Leipzig. Veterinärmedizinische Fakultät,1
Wageningen Academic Publishers,1
Biologische Bundesanstalt für Land- und Forstwirtschaft in Berlin und Braunschweig,1
Union Internationale des Sciences Biologiques Organisation Internationale de Lutte Biologique contre les animaux et les plantes nuisibles; Section Regionale Ouest Palearctique,1
lntemational Organization for Biological and Integrated Control of Noxious Animais and Plants,1
Organisation Internationale de Lutte Biologique ; Section Regionale Ouest Palearctique,1
Union Internationale des Sciences Biologiques Organisation Internationale de Lutte Biologique contre les animaux et les plantes nuisibles :  Section Regionale Ouest Palearctique,1
Organisation Internationale de Lutte Biologique contre les animaux et les plantes nuisibles ; Section regionale Ouest-Paléarctique ; Groupe de travail Protection intégrée en verger ; Comission pour la valorisation de la production intégrée,1
"Biologische Reichsanstalt für Land- und Forstwirtschaft, Deutschland",1
"Tischner, Helmut",1
"Biologische Bundesanstalt für Land- und Forstwirtschaft, Braunschweig, Deutschland",1
International Commission for Plant-Bee Relationships - Bee Protection Group,1
Springer Nature,1
Saphir Verlag,1
Wheat Initiative,1
"Eugen Ulmer GmbH & Co., Stuttgart",1
"Bruckmaier, Rupert M.",1
Thünen-Institut,1
Baltic Environmental Forum Lithuania,1
Leibniz-Institut für Ostseeforschung,1
Johann Heinrich von Thünen-Institut ; CUTEC-Institut,1
Backhuys,1
CCS Haryana Agricultural University,1
Agricultural and Food Policy Group,1
Institute of Agricultural and Food Economics,1
BFW Austrian Research Centre for Forests,1
Springer Open,1
Open Agrar Repositorium,1
LAF,1
"Makert dos Santos, Gustavo R.",1
Julius Kühn_Institut,1
"Perazzolli, Michele",1
COST - European Cooperation in the field of Scientific and Technical Research,1
entera Umweltplanung & IT ; Thünen-Institut für Ländliche Räume,1
Cambridge University Press (CUP),1
"Schäfer, Bernhard Carl",1
Springer VS,1
S. Karger AG,1
Verlag Dr. Köster,1
Editorial CSIC,1
International Committee on Food Microbiology and Hygiene,1
Institut für sozial-ökologische Forschung (ISOE) GmbH,1
Inst. für Ökonomie,1
Reichsnährstand-Verlags-Ges.m.b.H.,1
"Vieille, Claire",1
Schlütersche Verlagsanst.,1
Universität Kiel / Agrar- und Ernährungswissenschaftliche Fakultät,1
Deutsche Gartenbauwissenschaftliche Gesellschaft e. V.,1
IOBC,1
IOBC / WPRS,1
IOBC [u.a.],1
International Union of Biological Sciences,1
OILB,1
"International Union for Biological Sciences, International Organization for Biological Control of Noxious animals and Plants, West Palearctic Regional Section",1
"Thünen-Institut für Ländliche Räume des Johann Heinrich von Thünen-Institut Bundesforschungsinstitut für Ländliche Räume, Wald und Fischerei",1
Institut für Binnenfischerei,1
International Committee on Food Microbiology and Hygiene ICFMH,1
"Balsari, Paolo",1
Eugen Ulmer,1
Bundesinstitut für gesundheitlichen Verbraucherschutz und Veterinärmedizin,1
INRA - Centre de Recherches de Dijon,1
"International Organization fo Biological and Integrated Control of Noxious Animals and Plants, West Palaearctic Regional Section",1
INRA / Centre de Recherches,1
"INRA, Station de Zoologie",1
"International Organization for Biological and Integrated Control of Noxious Animals and Plants, West Palaearctic Region Section",1
"INRA - Centre de Recherches de Dijon, Laboratoire de Recherches sur la Flore Pathogène dans le Sol",1
"IOBC/WPRS, General Secretariat",1
INRA Station de Zoologie,1
Organisation Internationale de Lutte Biologique ... Section Régionale Ouest Paléarctique,1
Union Internationale des Sciences Biologiques,1
International organization for biological and integrated control of noxious animals and plants. West palearctic regional section,1
International Organization for Biological Control of Noxious Animals and Plants / West Palaearctic Regional Section,1
Organisation Internationale de Lutte Biologique [...] Section Régionale Ouest Paléarctique,1
"Fuchs, D.",1
E. Appelhans & Co.,1
"Krause, Eike Tobias",1
"Grajewski, J.",1
ISAE,1
Biologische Reichsanstalt für Land- und Forstwirtschaft,1
JMIR Publications Inc.,1
Hindawi Limited,1
Staatliches Naturhistorisches Museum,1
KIT Scientific Publishing,1
Bundesamt für Naturschutz,1
Mary Ann Liebert Inc,1
"DECHEMA, Gesellschaft für Chemische Technik und Biotechnologie",1
International Commission for Plant-Bee Relationships (ICPBR),1
VDB,1
Biologische Bundesanstalt für Land- und Forstwirtschaft Berlin und Braunschweig,1
OIE,1
OpenAgrar-Repositorium,1
Köllen Druck+Verlag,1
European Commission,1
DLG-Verlag,1
Frontiers Media,1
IOP Publishing,1
BBE,1
"Bruder, V.",1
American Meteorological Society American Meteorological Soc.,1
"Bundesministerium für Umwelt, Naturschutz, nukleare Sicherheit und Verbraucherschutz",1
Ständige Impfkommission Veterinärmedizin,1
Gesellschaft für Virologie,1
BLE,1
"Julius Kühn Institute, Federal Research Centre for Cultivated Plants, Braunschweig, Germany",1
"Julius Kühn-Institut, Bundesforschungsinstitut für Kulturpfl anzen, Braunschweig, Deutschland",1
Arno Brynda GmbH,1
Wydawn. Akademii Rolniczej w Poznaniu,1
Verl. der DVG,1
Saphir-Verl.,1
"Elsevier, Urban & Fischer",1
Bundesministerium des Innern,1
DVG,1
"Daub, Matthias",1
Trans Tech Publications TTP,1
WPSA,1
"Friedrich-Loeffler-Institut, Institut für Nutztiergenetik",1
"Selbstverl. der Agrar- und Ernährungswiss. Fak., Christian-Albrechts-Universität zu Kiel",1
"Bundesministerium für Umwelt, Naturschutz und Reaktorsicherheit",1
AGF,1
Alpha-Informationsgesellschaft,1
Wiss. Verl.-Ges.,1
FLI,1
Julius-Kühn-Inst. ;  Saphir-Verl.,1
"Bundesanstalt für Fleischforschung, Institut für Chemie und Physik",1
"Federal Institute for Risk Assessment, Press Office",1
"Bundesinstitut für Risikobewertung, Pressestelle",1
IFSDAA,1
EURISOTOP,1
Akademiai Kiado Zrt.,1
Universitetet i Agder,1
BfEL,1
"Serger und Hempel, Braunschweig",1
Bibliotheks- und Informationssystem der Universität Oldenburg,1
Bundesinstitut für gesundheitlichen Verbraucherschutz und Veterinärmedizin (BgVV),1
Sheffield Academic Press,1
Forschungsanstalt für Waldökologie und Forstwirtschaft Rheinland-Pfalz,1
Julius-Kühn-Inst. ; Saphir Verl.,1
International Conference Rabies in the Americas,1
University of Malta,1
Forschungsgesellschaft für Agrarpolitik und Agrarsoziologie,1
RSC Royal Society of Chemistry,1
DPG Selbstverl.,1
"Ludwig, Stephan",1
Deutsche Ges. für Qualitätsforschung,1
BFL,1
OECD,1
IIFET,1
"Oltersdorf, U.",1
"Bundesforschungsanstalt für Ernährung(BFE), Karlsruhe",1
"DGE, Bonn",1
IAEF,1
VAAM,1
"Deutsche Veterinärmedizinische Gesellschaft e.V. (DVG), Gießen",1
"Société de Chimie Industrielle (SCI), Paris, France",1
Fachverband für Strahlenschutz e.V.,1
